Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P08697	A2AP_HUMAN	reviewed	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2 AAP PLI	Homo sapiens (Human)	491
P01023	A2MG_HUMAN	reviewed	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	Homo sapiens (Human)	1474
P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
P35858	ALS_HUMAN	reviewed	Insulin-like growth factor-binding protein complex acid labile subunit (ALS)	IGFALS ALS	Homo sapiens (Human)	605
P06727	APOA4_HUMAN	reviewed	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	APOA4	Homo sapiens (Human)	396
P04114	APOB_HUMAN	reviewed	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	APOB	Homo sapiens (Human)	4563
P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
Q13790	APOF_HUMAN	reviewed	Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP)	APOF	Homo sapiens (Human)	326
Q01518	CAP1_HUMAN	reviewed	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	475
Q96IY4	CBPB2_HUMAN	reviewed	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	Homo sapiens (Human)	423
P15169	CBPN_HUMAN	reviewed	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)	CPN1 ACBP	Homo sapiens (Human)	458
P05156	CFAI_HUMAN	reviewed	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI IF	Homo sapiens (Human)	583
P10909	CLUS_HUMAN	reviewed	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	CLU APOJ CLI KUB1 AAG4	Homo sapiens (Human)	449
P10645	CMGA_HUMAN	reviewed	Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1 (Vasostatin I); Vasostatin-2 (Vasostatin II); EA-92; ES-43; Pancreastatin; SS-18; WA-8; WE-14; LF-19; Catestatin (SL21); AL-11; GV-19; GR-44; ER-37; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	CHGA	Homo sapiens (Human)	457
P0C0L4	CO4A_HUMAN	reviewed	Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]	C4A CO4 CPAMD2	Homo sapiens (Human)	1744
P0C0L5	CO4B_HUMAN	reviewed	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	C4B CO4 CPAMD3; C4B_2	Homo sapiens (Human)	1744
P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	Homo sapiens (Human)	1676
P13671	CO6_HUMAN	reviewed	Complement component C6	C6	Homo sapiens (Human)	934
P10643	CO7_HUMAN	reviewed	Complement component C7	C7	Homo sapiens (Human)	843
P07357	CO8A_HUMAN	reviewed	Complement component C8 alpha chain (Complement component 8 subunit alpha)	C8A	Homo sapiens (Human)	584
P07358	CO8B_HUMAN	reviewed	Complement component C8 beta chain (Complement component 8 subunit beta)	C8B	Homo sapiens (Human)	591
P07360	CO8G_HUMAN	reviewed	Complement component C8 gamma chain	C8G	Homo sapiens (Human)	202
P49747	COMP_HUMAN	reviewed	Cartilage oligomeric matrix protein (COMP) (Thrombospondin-5) (TSP5)	COMP	Homo sapiens (Human)	757
Q9NQ79	CRAC1_HUMAN	reviewed	Cartilage acidic protein 1 (68 kDa chondrocyte-expressed protein) (CEP-68) (ASPIC)	CRTAC1 ASPIC1 CEP68	Homo sapiens (Human)	661
P02741	CRP_HUMAN	reviewed	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	CRP PTX1	Homo sapiens (Human)	224
O94985	CSTN1_HUMAN	reviewed	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911	Homo sapiens (Human)	981
Q9UK59	DBR1_HUMAN	reviewed	Lariat debranching enzyme (EC 3.1.-.-)	DBR1	Homo sapiens (Human)	544
Q8IXL6	DMP4_HUMAN	reviewed	Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi-enriched fraction casein kinase) (GEF-CK) (Protein FAM20C)	FAM20C DMP4	Homo sapiens (Human)	584
Q13822	ENPP2_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	ENPP2 ATX PDNP2	Homo sapiens (Human)	863
P00488	F13A_HUMAN	reviewed	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1 F13A	Homo sapiens (Human)	732
P03951	FA11_HUMAN	reviewed	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	F11	Homo sapiens (Human)	625
P00748	FA12_HUMAN	reviewed	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	F12	Homo sapiens (Human)	615
P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224
Q15485	FCN2_HUMAN	reviewed	Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)	FCN2 FCNL	Homo sapiens (Human)	313
O75636	FCN3_HUMAN	reviewed	Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen)	FCN3 FCNH HAKA1	Homo sapiens (Human)	299
P02671	FIBA_HUMAN	reviewed	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA	Homo sapiens (Human)	866
P06396	GELS_HUMAN	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782
P40197	GPV_HUMAN	reviewed	Platelet glycoprotein V (GPV) (Glycoprotein 5) (CD antigen CD42d)	GP5	Homo sapiens (Human)	560
P23527	H2B1O_HUMAN	reviewed	Histone H2B type 1-O (Histone H2B.2) (Histone H2B.n) (H2B/n)	HIST1H2BO H2BFH H2BFN	Homo sapiens (Human)	126
P02790	HEMO_HUMAN	reviewed	Hemopexin (Beta-1B-glycoprotein)	HPX	Homo sapiens (Human)	462
P05546	HEP2_HUMAN	reviewed	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	SERPIND1 HCF2	Homo sapiens (Human)	499
P00738	HPT_HUMAN	reviewed	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	HP	Homo sapiens (Human)	406
P00739	HPTR_HUMAN	reviewed	Haptoglobin-related protein	HPR	Homo sapiens (Human)	348
P23083	HV103_HUMAN	reviewed	Ig heavy chain V-I region V35		Homo sapiens (Human)	117
P01880	IGHD_HUMAN	reviewed	Ig delta chain C region	IGHD	Homo sapiens (Human)	384
P01871	IGHM_HUMAN	reviewed	Ig mu chain C region	IGHM	Homo sapiens (Human)	452
P19827	ITIH1_HUMAN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH1 IGHEP1	Homo sapiens (Human)	911
Q06033	ITIH3_HUMAN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH3	Homo sapiens (Human)	890
Q14624	ITIH4_HUMAN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (Gp120) (PK-120) [Cleaved into: 70 kDa inter-alpha-trypsin inhibitor heavy chain H4; 35 kDa inter-alpha-trypsin inhibitor heavy chain H4]	ITIH4 IHRP ITIHL1 PK120 PRO1851	Homo sapiens (Human)	930
Q8WWA0	ITLN1_HUMAN	reviewed	Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin)	ITLN1 INTL ITLN LFR UNQ640/PRO1270	Homo sapiens (Human)	313
P35527	K1C9_HUMAN	reviewed	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	Homo sapiens (Human)	623
P06732	KCRM_HUMAN	reviewed	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (M-CK) [Cleaved into: Creatine kinase M-type, N-terminally processed]	CKM CKMM	Homo sapiens (Human)	381
P03952	KLKB1_HUMAN	reviewed	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	KLKB1 KLK3	Homo sapiens (Human)	638
P01042	KNG1_HUMAN	reviewed	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1 BDK KNG	Homo sapiens (Human)	644
P18428	LBP_HUMAN	reviewed	Lipopolysaccharide-binding protein (LBP)	LBP	Homo sapiens (Human)	481
P00338	LDHA_HUMAN	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	Homo sapiens (Human)	332
P09960	LKHA4_HUMAN	reviewed	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase)	LTA4H LTA4	Homo sapiens (Human)	611
P33908	MA1A1_HUMAN	reviewed	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (EC 3.2.1.113) (Man(9)-alpha-mannosidase) (Man9-mannosidase) (Mannosidase alpha class 1A member 1) (Processing alpha-1,2-mannosidase IA) (Alpha-1,2-mannosidase IA)	MAN1A1	Homo sapiens (Human)	653
P48740	MASP1_HUMAN	reviewed	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	MASP1 CRARF CRARF1 PRSS5	Homo sapiens (Human)	699
O00187	MASP2_HUMAN	reviewed	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	Homo sapiens (Human)	686
P36955	PEDF_HUMAN	reviewed	Pigment epithelium-derived factor (PEDF) (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)	SERPINF1 PEDF PIG35	Homo sapiens (Human)	418
Q96PD5	PGRP2_HUMAN	reviewed	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Peptidoglycan recognition protein 2) (Peptidoglycan recognition protein long) (PGRP-L)	PGLYRP2 PGLYRPL PGRPL UNQ3103/PRO10102	Homo sapiens (Human)	576
P08567	PLEK_HUMAN	reviewed	Pleckstrin (Platelet 47 kDa protein) (p47)	PLEK P47	Homo sapiens (Human)	350
P27169	PON1_HUMAN	reviewed	Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)	PON1 PON	Homo sapiens (Human)	355
P07225	PROS_HUMAN	reviewed	Vitamin K-dependent protein S	PROS1 PROS	Homo sapiens (Human)	676
P25786	PSA1_HUMAN	reviewed	Proteasome subunit alpha type-1 (EC 3.4.25.1) (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	PSMA1 HC2 NU PROS30 PSC2	Homo sapiens (Human)	263
O00391	QSOX1_HUMAN	reviewed	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013	Homo sapiens (Human)	747
P0DJI9	SAA2_HUMAN	reviewed	Serum amyloid A-2 protein (SAA2)	SAA2	Homo sapiens (Human)	122
P02808	STAT_HUMAN	reviewed	Statherin	STATH	Homo sapiens (Human)	62
P00734	THRB_HUMAN	reviewed	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622
P29401	TKT_HUMAN	reviewed	Transketolase (TK) (EC 2.2.1.1)	TKT	Homo sapiens (Human)	623
